index,OBJECT_ID,chi2,poly_params,vsini,Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logAge,e_logAge,plx,Vmag,Notes,SCat,unknown,Gaia,2M,Simbad,_RA,_DE,simbadnames_x,ID_NAME,filename,exptime,sn18,qprog,rv,basenames,simbadnames_y
28,GJ_251,1.9614211500886414,"[-4.25958301e+06  1.46900101e+03 -5.63366922e-02 -3.22738538e-06
  2.78482885e-10 -5.33544881e-15]",1.4483994800695779,HD_265866,3448,60,0.358,0.013,4.88,0.05,-0.02,0.08,0.35,0.04,9.66,0.52,180.3,10.1,D,1,1,Gaia,2M,Simbad,103.70399,33.26818,Karmn_J06548+332|2MASS_J06544902+3316058|IRAS_06515+3320|PLX_1609|LSPM_J0654+3316|TYC_2441-572-1|ASCC__574333|UCAC2__43431171|USNO-B1.0_1232-00178536|8pc_181.32|AC_+33_25644|CSI+33-06516|Ci_20__400|G__87-12|G_103-68|GCRV__4506|GEN#_+9.80087012|GEN#_+6.10010251|GJ___251|HD_265866|HIC__33226|HIP__33226|JP11__5122|JP11__5121|JP11__5123|JP11__5120|LFT__497|LHS__1879|LTT_11941|MCC_482|NLTT_17147|UBV_M__42939|Wolf__294|Zkh__95|[RHG95]__1094|PLX_1609.00|WISEA_J065448.38+331601.2|UCAC4_617-038292|StKM_2-440|PM_J06548+3316|Gaia_DR1_939072609037892224|WEB__6685|Gaia_DR2_939072613334579328,Gaia_DR2_939072613334579328,../library/20201008_specmatch_nir/FITS/261_265866/Slope-20200114T091114_R01.optimal.fits,617.7,568.272216796875,UT20-1-007,22.899544368519802,Slope-20200114T091114_R01.optimal.fits,Karmn_J06548+332|2MASS_J06544902+3316058|IRAS_06515+3320|PLX_1609|LSPM_J0654+3316|TYC_2441-572-1|ASCC__574333|UCAC2__43431171|USNO-B1.0_1232-00178536|8pc_181.32|AC_+33_25644|CSI+33-06516|Ci_20__400|G__87-12|G_103-68|GCRV__4506|GEN#_+9.80087012|GEN#_+6.10010251|GJ___251|HD_265866|HIC__33226|HIP__33226|JP11__5122|JP11__5121|JP11__5123|JP11__5120|LFT__497|LHS__1879|LTT_11941|MCC_482|NLTT_17147|UBV_M__42939|Wolf__294|Zkh__95|[RHG95]__1094|PLX_1609.00|WISEA_J065448.38+331601.2|UCAC4_617-038292|StKM_2-440|PM_J06548+3316|Gaia_DR1_939072609037892224|WEB__6685|Gaia_DR2_939072613334579328
31,GJ_109,1.9773178483813905,"[ 2.98128332e+06 -1.02665304e+03  3.92797603e-02  2.25512981e-06
 -1.94133134e-10  3.71405797e-15]",1.103955625466067,GL_109,3405,60,0.364,0.014,4.85,0.05,-0.1,0.08,0.34,0.03,9.72,0.51,132.4,10.6,D,2,1,Gaia,2M,Simbad,41.06462,25.52336,Karmn_J02442+255|PLX__555|LSPM_J0244+2531|ASCC__654779|UCAC2__40803044|2MASS_J02441537+2531249|USNO-B1.0_1155-00031777|1RXS_J024416.0+253134|8pc_132.42|AC_+25__7918|CSI+25-02413|Ci_20__180|G__36-31|GCRV__1544|GEN#_+6.10010109|GEN#_+9.80036031|GJ___109|HIC__12781|HIP__12781|JP11__5109|LFT__224|LHS__1439|LTT_10897|MCC_400|NLTT__8817|PM_02413+2519|Ross__556|TYC_1772-986-1|UBV_M__42925|UBV____2710|V*_VX_Ari|VVO__51|Zkh__46|[GKL99]__75|[GS83]__68|[RHG95]___492|PLX__555.00|RX_J0244.2+2531|[ZEH2003]_RX_J0244.2+2531__1|WISEA_J024416.15+253120.5|StKM_2-231|UCAC4_578-006105|PM_J02442+2531|GALEX_6377037839452865034|WEB__2599|Gaia_DR2_114207651462714880,Gaia_DR2_114207651462714880,../library/20201008_specmatch_nir/FITS/265_GL109/Slope-20181221T061620_R01.optimal.fits,649.65,501.3157958984375,PSU19-1-013,30.515882303306732,Slope-20181221T061620_R01.optimal.fits,Karmn_J02442+255|PLX__555|LSPM_J0244+2531|ASCC__654779|UCAC2__40803044|2MASS_J02441537+2531249|USNO-B1.0_1155-00031777|1RXS_J024416.0+253134|8pc_132.42|AC_+25__7918|CSI+25-02413|Ci_20__180|G__36-31|GCRV__1544|GEN#_+6.10010109|GEN#_+9.80036031|GJ___109|HIC__12781|HIP__12781|JP11__5109|LFT__224|LHS__1439|LTT_10897|MCC_400|NLTT__8817|PM_02413+2519|Ross__556|TYC_1772-986-1|UBV_M__42925|UBV____2710|V*_VX_Ari|VVO__51|Zkh__46|[GKL99]__75|[GS83]__68|[RHG95]___492|PLX__555.00|RX_J0244.2+2531|[ZEH2003]_RX_J0244.2+2531__1|WISEA_J024416.15+253120.5|StKM_2-231|UCAC4_578-006105|PM_J02442+2531|GALEX_6377037839452865034|WEB__2599|Gaia_DR2_114207651462714880
58,GJ_4070,2.241220156625735,"[-1.74916377e+07  6.02762931e+03 -2.30869603e-01 -1.32413705e-05
  1.14112174e-09 -2.18457930e-14]",1.407166240525679,HIP_91699,3400,61,0.394,0.019,4.81,0.05,-0.16,0.08,0.37,0.04,9.75,0.51,92.8,11.3,D,1,1,Gaia,2M,Simbad,280.49598,31.83049,Gaia_DR1_2090085052225147264|TYC_2637-58-1|PM_J18419+3149|StKM_2-1388|UCAC4_610-064226|LSPM_J1841+3149|ASCC__604813|UCAC2__42953368|USNO-B1.0_1218-00336363|G_206-40|GJ__4070|HIC__91699|HIP__91699|LTT_15513|NLTT_46890|Ross__145|[RHG95]__2940|2MASS_J18415908+3149498|PLX_4317.03|Gaia_DR2_2090085056523454464,Gaia_DR2_2090085056523454464,../library/20201008_specmatch_nir/FITS/308_HIP91699/Slope-20200310T112118_R01.optimal.fits,969.15,253.50669860839844,UT20-1-008,-31.757517717217326,Slope-20200310T112118_R01.optimal.fits,Gaia_DR1_2090085052225147264|TYC_2637-58-1|PM_J18419+3149|StKM_2-1388|UCAC4_610-064226|LSPM_J1841+3149|ASCC__604813|UCAC2__42953368|USNO-B1.0_1218-00336363|G_206-40|GJ__4070|HIC__91699|HIP__91699|LTT_15513|NLTT_46890|Ross__145|[RHG95]__2940|2MASS_J18415908+3149498|PLX_4317.03|Gaia_DR2_2090085056523454464
77,GJ_436,2.3519992577126203,"[-1.68651251e+07  5.80932082e+03 -2.22357807e-01 -1.27611378e-05
  1.09899269e-09 -2.10305090e-14]",0.773110011209448,HIP_57087,3416,53,0.455,0.018000000000000002,4.83,0.03,0.04,0.1,0.45,0.03,9.62,0.52,102.6,10.6,E,1,1,Gaia,2M,Simbad,175.54622,26.70657000000001,Karmn_J11421+267|TYC_1984-2613-1|PLX_2704.1|1RXS_J114211.9+264328|LSPM_J1142+2642|ASCC__683818|UCAC2__41198281|2MASS_J11421096+2642251|USNO-B1.0_1167-00204205|AC_+27_28217|BPS_BS_15625-0002|CSI+26-11395|CSI+27-11395|CSI+27-11394|G_120-68|G_147-68|G_121-7|GCRV__7104|GEN#_+9.80120068|GJ___436|HIC__57087|HIP__57087|LFT__838|LHS___310|LP__319-75|LTT_13213|MCC_616|NLTT_28288|PM_11395+2700|Ross__905|VVO_171|Zkh_164|[RHG95]__1830|PLX_2704.10|Gaia_DR2_4017860992519744384|WISEA_J114211.79+264215.1|UCAC4_584-046777|StKM_2-754|PM_J11421+2642|Gaia_DR1_4017861056947245696|WEB_10275,Gaia_DR2_4017860992519744384,../library/20201008_specmatch_nir/FITS/401_HIP57087/Slope-20200208T064809_R01.optimal.fits,649.65,513.5943603515625,ENG20-1-003,9.568895452080044,Slope-20200208T064809_R01.optimal.fits,Karmn_J11421+267|TYC_1984-2613-1|PLX_2704.1|1RXS_J114211.9+264328|LSPM_J1142+2642|ASCC__683818|UCAC2__41198281|2MASS_J11421096+2642251|USNO-B1.0_1167-00204205|AC_+27_28217|BPS_BS_15625-0002|CSI+26-11395|CSI+27-11395|CSI+27-11394|G_120-68|G_147-68|G_121-7|GCRV__7104|GEN#_+9.80120068|GJ___436|HIC__57087|HIP__57087|LFT__838|LHS___310|LP__319-75|LTT_13213|MCC_616|NLTT_28288|PM_11395+2700|Ross__905|VVO_171|Zkh_164|[RHG95]__1830|PLX_2704.10|Gaia_DR2_4017860992519744384|WISEA_J114211.79+264215.1|UCAC4_584-046777|StKM_2-754|PM_J11421+2642|Gaia_DR1_4017861056947245696|WEB_10275
39,GJ_694,2.401337903550373,"[-1.00606557e+07  3.46528727e+03 -1.32626230e-01 -7.61202774e-06
  6.55494727e-10 -1.25430135e-14]",0.8181878768451311,GL_694,3464,61,0.44,0.017,4.79,0.05,0.0,0.08,0.43,0.04,9.72,0.52,105.4,10.5,D,2,1,Gaia,2M,Simbad,265.98318,43.37861,PLX_4053|LSPM_J1743+4322|ASCC__418044|2MASS_J17435595+4322441|BD+43__2796|Ci_20_1062|G_204-27|GCRV_10260|GEN#_+0.04302796|GJ___694|HIC__86776|HIP__86776|LFT_1371|LHS__3321|LTT_15258|MCC_171|NLTT_45376|TYC_3100-1810-1|VVO__67|Zkh_263|[RHG95]__2817|USNO-B1.0_1333-00303264|PLX_4053.00|WISEA_J174355.97+432236.8|UCAC4_667-064273|StKM_2-1342|PM_J17439+4322|WEB_14633|Gaia_DR2_1349047857580994560,Gaia_DR2_1349047857580994560,../library/20201008_specmatch_nir/FITS/275_GL694/Slope-20200622T091705_R01.optimal.fits,649.65,440.99249267578125,UT20-2-007,-14.304825890188631,Slope-20200622T091705_R01.optimal.fits,PLX_4053|LSPM_J1743+4322|ASCC__418044|2MASS_J17435595+4322441|BD+43__2796|Ci_20_1062|G_204-27|GCRV_10260|GEN#_+0.04302796|GJ___694|HIC__86776|HIP__86776|LFT_1371|LHS__3321|LTT_15258|MCC_171|NLTT_45376|TYC_3100-1810-1|VVO__67|Zkh_263|[RHG95]__2817|USNO-B1.0_1333-00303264|PLX_4053.00|WISEA_J174355.97+432236.8|UCAC4_667-064273|StKM_2-1342|PM_J17439+4322|WEB_14633|Gaia_DR2_1349047857580994560
57,GJ_70,2.6110062322274246,"[-1.73540832e+07  5.97815650e+03 -2.28845831e-01 -1.31321236e-05
  1.13106956e-09 -2.16458468e-14]",0.22181279216138483,HIP_8051,3458,60,0.414,0.017,4.81,0.05,-0.13,0.08,0.4,0.04,9.76,0.51,89.2,10.9,D,1,1,Gaia,2M,Simbad,25.83408,4.32166,Karmn_J01433+043|2MASS_J01432015+0419172|PLX__363.1|LSPM_J0143+0419|ASCC_1096514|UCAC2__33162859|USNO-B1.0_0943-00016573|AC_+03__2259-0|AC_+04__2595-239|CSI+04-01408|G___3-14|G__71-28|GCRV_51952|GEN#_+9.80003014|GEN#_+6.10010070|GJ____70|HIC___8051|HIP___8051|LFT_1851|LHS__1290|LTT_10604|MCC__93|NLTT__5733|PM_01408+0405|TYC___32-1005-1|UBV_M__42923|Zkh__32|[R78b]__77|[RHG95]___319|PLX__363.10|WISEA_J014319.89+041910.0|UCAC4_472-002320|StKM_2-154|PM_J01433+0419|Gaia_DR1_2560771342823697152|WEB__1724|Gaia_DR2_2560771312759450496,Gaia_DR2_2560771312759450496,../library/20201008_specmatch_nir/FITS/307_HIP8051/Slope-20200725T103643_R01.optimal.fits,969.15,503.672119140625,UT20-2-007,-25.91815911163341,Slope-20200725T103643_R01.optimal.fits,Karmn_J01433+043|2MASS_J01432015+0419172|PLX__363.1|LSPM_J0143+0419|ASCC_1096514|UCAC2__33162859|USNO-B1.0_0943-00016573|AC_+03__2259-0|AC_+04__2595-239|CSI+04-01408|G___3-14|G__71-28|GCRV_51952|GEN#_+9.80003014|GEN#_+6.10010070|GJ____70|HIC___8051|HIP___8051|LFT_1851|LHS__1290|LTT_10604|MCC__93|NLTT__5733|PM_01408+0405|TYC___32-1005-1|UBV_M__42923|Zkh__32|[R78b]__77|[RHG95]___319|PLX__363.10|WISEA_J014319.89+041910.0|UCAC4_472-002320|StKM_2-154|PM_J01433+0419|Gaia_DR1_2560771342823697152|WEB__1724|Gaia_DR2_2560771312759450496
46,GJ_849,2.7127388808904183,"[-1.44009034e+07  4.96096632e+03 -1.89915154e-01 -1.08977126e-05
  9.38657616e-10 -1.79640049e-14]",1.6202464473624785,HIP_109388,3530,60,0.47,0.018000000000000002,4.78,0.05,0.37,0.08,0.48,0.05,9.65,0.52,113.2,10.4,D,1,1,Gaia,2M,Simbad,332.4181,-4.64074,PLX_5358|2E__4574|BD-05__5715|Ci_20_1340|G__27-16|GCRV_13921|GJ___849|HIC_109388|HIP_109388|JP11___258|LFT_1689|LHS___517|LPM_814|LTT__8889|MCC__73|NLTT_53078|PM_22070-0453|TYC_5227-1521-1|USNO-B1.0_0853-00595068|VVO_234|Wolf_1329|Zkh_328|[RHG95]__3478|2MASS_J22094029-0438267|GEN#_-0.00505715|PLX_5358.00|2E_2206.9-0454|Gaia_DR2_2627117287488522240|WISEA_J220941.14-043826.8|RAVE_J220940.3-043827|IRAS_22070-0452|AKARI-IRC-V1_J2209408-043826|UCAC4_427-123515|PM_J22096-0438|Gaia_DR1_2627117283194034944|WEB_19654,Gaia_DR2_2627117287488522240,../library/20201008_specmatch_nir/FITS/284_HIP109388/Slope-20200925T044834_R01.optimal.fits,330.15,405.6546325683594,UT20-3-005,-15.280235766186033,Slope-20200925T044834_R01.optimal.fits,PLX_5358|2E__4574|BD-05__5715|Ci_20_1340|G__27-16|GCRV_13921|GJ___849|HIC_109388|HIP_109388|JP11___258|LFT_1689|LHS___517|LPM_814|LTT__8889|MCC__73|NLTT_53078|PM_22070-0453|TYC_5227-1521-1|USNO-B1.0_0853-00595068|VVO_234|Wolf_1329|Zkh_328|[RHG95]__3478|2MASS_J22094029-0438267|GEN#_-0.00505715|PLX_5358.00|2E_2206.9-0454|Gaia_DR2_2627117287488522240|WISEA_J220941.14-043826.8|RAVE_J220940.3-043827|IRAS_22070-0452|AKARI-IRC-V1_J2209408-043826|UCAC4_427-123515|PM_J22096-0438|Gaia_DR1_2627117283194034944|WEB_19654
34,GJ_250_B,2.776726329144418,"[-1.46034049e+07  5.03194407e+03 -1.92707989e-01 -1.10539667e-05
  9.52490118e-10 -1.82331283e-14]",0.3552749726814227,GL_250B,3481,60,0.46,0.017,4.76,0.05,0.14,0.03,0.44,0.04,9.69,0.52,,10.1,D,3,1,Gaia,2M,Simbad,103.07521,-5.19006,"Karmn_J06523-051SAB|NLTT_17108|[RHG95]__1092|Zkh__94|PM_06499-0508|LTT__2663|LHS__1876|LFT__495|GJ___250_B|GEN#_+1.00050281B|GSC_04808-00765|TYC_4808-765-1|2MASS_J06521804-0511241|CSI-05__1844__2|CCDM_J06523-0511B|IDS_06474-0503_B|WDS_J06523-0510B|**_WNO___17B|WDS_J06523-0510Ba,Bb|**_WSI__125|HD__50281B|UCAC4_425-023198|PM_J06523-0511|Gaia_DR2_3101920046552857728",Gaia_DR2_3101920046552857728,../library/20201008_specmatch_nir/FITS/268_GL250B/Slope-20200126T050642_R01.optimal.fits,649.65,478.31683349609375,UT20-1-008,-7.27487467847373,Slope-20200126T050642_R01.optimal.fits,"Karmn_J06523-051SAB|NLTT_17108|[RHG95]__1092|Zkh__94|PM_06499-0508|LTT__2663|LHS__1876|LFT__495|GJ___250_B|GEN#_+1.00050281B|GSC_04808-00765|TYC_4808-765-1|2MASS_J06521804-0511241|CSI-05__1844__2|CCDM_J06523-0511B|IDS_06474-0503_B|WDS_J06523-0510B|**_WNO___17B|WDS_J06523-0510Ba,Bb|**_WSI__125|HD__50281B|UCAC4_425-023198|PM_J06523-0511|Gaia_DR2_3101920046552857728"
35,GJ_273,2.865744223348348,"[-5.20798841e+06  1.79743683e+03 -6.90168422e-02 -3.94932732e-06
  3.41195499e-10 -6.54187633e-15]",2.512008158615447,GL_273,3317,60,0.315,0.012,4.89,0.05,-0.11,0.08,0.28,0.03,9.85,0.49,263.3,9.9,D,2,1,Gaia,2M,Simbad,111.85208,5.22579,Karmn_J07274+052|Gaia_DR2_3139847906304421632|PLX_1755|LSPM_J0727+0513|ASCC_1029189|UCAC2__33555673|USNO-B1.0_0952-00140898|8pc_263.26|AC2000__282902|BD+05__1668|G_112-17|G__89-19|GAT_1092|GCRV__4954|GEN#_+0.00501668|GJ___273|GSC_00173-01124|HIC__36208|HIP__36208|IRAS_07247+0520|JP11____25|LFT__527|LHS____33|LTT_12021|MCC__17|NAME_Luyten's_star|NLTT_17881|PM_07247+0522|RAFGL__273|TYC__173-3208-1|UBV____7206|UBV_M____272|VVO_207|Zkh_102|[HFE83]__515|[JHC84]__57|[RHG95]__1168|2MASS_J07272450+0513329|PLX_1755.00|PM_J07274+0513|WEB__7213,Gaia_DR2_3139847906304421632,../library/20201008_specmatch_nir/FITS/269_GL273/Slope-20191115T085605_R01.optimal.fits,298.2,661.79248046875,ENG19-3-003,18.1541811021219,Slope-20191115T085605_R01.optimal.fits,Karmn_J07274+052|Gaia_DR2_3139847906304421632|PLX_1755|LSPM_J0727+0513|ASCC_1029189|UCAC2__33555673|USNO-B1.0_0952-00140898|8pc_263.26|AC2000__282902|BD+05__1668|G_112-17|G__89-19|GAT_1092|GCRV__4954|GEN#_+0.00501668|GJ___273|GSC_00173-01124|HIC__36208|HIP__36208|IRAS_07247+0520|JP11____25|LFT__527|LHS____33|LTT_12021|MCC__17|NAME_Luyten's_star|NLTT_17881|PM_07247+0522|RAFGL__273|TYC__173-3208-1|UBV____7206|UBV_M____272|VVO_207|Zkh_102|[HFE83]__515|[JHC84]__57|[RHG95]__1168|2MASS_J07272450+0513329|PLX_1755.00|PM_J07274+0513|WEB__7213
76,GJ_699,3.0045240569663827,"[ 1.32295789e+07 -4.55404539e+03  1.74125024e-01  1.00029037e-05
 -8.60533037e-10  1.64564573e-14]",2.4803612727127096,GL_699,3222,10,0.187,0.001,5.11,0.01,-0.39,0.1,0.16,0.0,9.61,0.54,549.0,9.5,E,2,0,Gaia,2M,Simbad,269.45207,4.69339,Karmn_J17578+046|PLX_4098|LSPM_J1757+0441|ASCC_1153178|UCAC2__33428712|2MASS_J17574849+0441405|USNO-B1.0_0946-00315199|8pc_549.01|AC2000__146626|BD+04__3561a|CCDM_J17578+0441A|CSI+04-17554|CSV___7737|Ci_20_1069|G_140-24|GAT___12|GCRV_10392|GJ___699|GSC_00425-00184|GSC_00425-02502|HIC__87937|HIP__87937|IRAS_17553+0438|JP11____18|LFT_1385|LHS____57|LTT_15309|MCC_799|NLTT_45718|NSV__9910|TYC__425-2502-1|UBV___15269|USNO_347|USNO_876|V*_V2500_Oph|VVO___6|Zkh_269|[RHG95]__2849|WISEA_J175747.94+044323.8|PLX_4098.00|1E_1755.3+0438|NAME_Barnard's_star|NAME_Barnard_Star|UCAC4_474-068224|StKM_2-1355|PM_J17578+0441N|GEN#_+0.00403561|uvby98_000403561|WEB_14849|Gaia_DR2_4472832130942575872,Gaia_DR2_4472832130942575872,../library/20201008_specmatch_nir/FITS/397_GL699/Slope-20181003T014556_R01.optimal.fits,330.15,764.0237426757812,ENG18-3-003,-110.59249920891666,Slope-20181003T014556_R01.optimal.fits,Karmn_J17578+046|PLX_4098|LSPM_J1757+0441|ASCC_1153178|UCAC2__33428712|2MASS_J17574849+0441405|USNO-B1.0_0946-00315199|8pc_549.01|AC2000__146626|BD+04__3561a|CCDM_J17578+0441A|CSI+04-17554|CSV___7737|Ci_20_1069|G_140-24|GAT___12|GCRV_10392|GJ___699|GSC_00425-00184|GSC_00425-02502|HIC__87937|HIP__87937|IRAS_17553+0438|JP11____18|LFT_1385|LHS____57|LTT_15309|MCC_799|NLTT_45718|NSV__9910|TYC__425-2502-1|UBV___15269|USNO_347|USNO_876|V*_V2500_Oph|VVO___6|Zkh_269|[RHG95]__2849|WISEA_J175747.94+044323.8|PLX_4098.00|1E_1755.3+0438|NAME_Barnard's_star|NAME_Barnard_Star|UCAC4_474-068224|StKM_2-1355|PM_J17578+0441N|GEN#_+0.00403561|uvby98_000403561|WEB_14849|Gaia_DR2_4472832130942575872
