index,OBJECT_ID,chi2,poly_params,vsini,Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logAge,e_logAge,plx,Vmag,Notes,SCat,unknown,Gaia,2M,Simbad,_RA,_DE,simbadnames_x,ID_NAME,filename,exptime,sn18,qprog,rv,basenames,simbadnames_y,weights
31,GJ_109,1.4828079650542652,"[ 3.54012035e+06 -1.04608025e+03  3.43681967e-02  1.68804913e-06
 -1.24782584e-10  2.04840900e-15]",1.2024410074786553,GL_109,3405,60,0.364,0.014,4.85,0.05,-0.1,0.08,0.34,0.03,9.72,0.51,132.4,10.6,D,2,1,Gaia,2M,Simbad,41.06462,25.52336,Karmn_J02442+255|PLX__555|LSPM_J0244+2531|ASCC__654779|UCAC2__40803044|2MASS_J02441537+2531249|USNO-B1.0_1155-00031777|1RXS_J024416.0+253134|8pc_132.42|AC_+25__7918|CSI+25-02413|Ci_20__180|G__36-31|GCRV__1544|GEN#_+6.10010109|GEN#_+9.80036031|GJ___109|HIC__12781|HIP__12781|JP11__5109|LFT__224|LHS__1439|LTT_10897|MCC_400|NLTT__8817|PM_02413+2519|Ross__556|TYC_1772-986-1|UBV_M__42925|UBV____2710|V*_VX_Ari|VVO__51|Zkh__46|[GKL99]__75|[GS83]__68|[RHG95]___492|PLX__555.00|RX_J0244.2+2531|[ZEH2003]_RX_J0244.2+2531__1|WISEA_J024416.15+253120.5|StKM_2-231|UCAC4_578-006105|PM_J02442+2531|GALEX_6377037839452865034|WEB__2599|Gaia_DR2_114207651462714880,Gaia_DR2_114207651462714880,../library/20201008_specmatch_nir/FITS/265_GL109/Slope-20181221T061620_R01.optimal.fits,649.65,501.3157958984375,PSU19-1-013,30.515882303306732,Slope-20181221T061620_R01.optimal.fits,Karmn_J02442+255|PLX__555|LSPM_J0244+2531|ASCC__654779|UCAC2__40803044|2MASS_J02441537+2531249|USNO-B1.0_1155-00031777|1RXS_J024416.0+253134|8pc_132.42|AC_+25__7918|CSI+25-02413|Ci_20__180|G__36-31|GCRV__1544|GEN#_+6.10010109|GEN#_+9.80036031|GJ___109|HIC__12781|HIP__12781|JP11__5109|LFT__224|LHS__1439|LTT_10897|MCC_400|NLTT__8817|PM_02413+2519|Ross__556|TYC_1772-986-1|UBV_M__42925|UBV____2710|V*_VX_Ari|VVO__51|Zkh__46|[GKL99]__75|[GS83]__68|[RHG95]___492|PLX__555.00|RX_J0244.2+2531|[ZEH2003]_RX_J0244.2+2531__1|WISEA_J024416.15+253120.5|StKM_2-231|UCAC4_578-006105|PM_J02442+2531|GALEX_6377037839452865034|WEB__2599|Gaia_DR2_114207651462714880,0.48532090045099224
28,GJ_251,1.4960722856084274,"[ 1.09030079e+06 -3.21912780e+02  1.05621765e-02  5.19414876e-07
 -3.83447570e-11  6.28946182e-16]",1.5647747666818588,HD_265866,3448,60,0.358,0.013,4.88,0.05,-0.02,0.08,0.35,0.04,9.66,0.52,180.3,10.1,D,1,1,Gaia,2M,Simbad,103.70399,33.26818,Karmn_J06548+332|2MASS_J06544902+3316058|IRAS_06515+3320|PLX_1609|LSPM_J0654+3316|TYC_2441-572-1|ASCC__574333|UCAC2__43431171|USNO-B1.0_1232-00178536|8pc_181.32|AC_+33_25644|CSI+33-06516|Ci_20__400|G__87-12|G_103-68|GCRV__4506|GEN#_+9.80087012|GEN#_+6.10010251|GJ___251|HD_265866|HIC__33226|HIP__33226|JP11__5122|JP11__5121|JP11__5123|JP11__5120|LFT__497|LHS__1879|LTT_11941|MCC_482|NLTT_17147|UBV_M__42939|Wolf__294|Zkh__95|[RHG95]__1094|PLX_1609.00|WISEA_J065448.38+331601.2|UCAC4_617-038292|StKM_2-440|PM_J06548+3316|Gaia_DR1_939072609037892224|WEB__6685|Gaia_DR2_939072613334579328,Gaia_DR2_939072613334579328,../library/20201008_specmatch_nir/FITS/261_265866/Slope-20200114T091114_R01.optimal.fits,617.7,568.272216796875,UT20-1-007,22.899544368519802,Slope-20200114T091114_R01.optimal.fits,Karmn_J06548+332|2MASS_J06544902+3316058|IRAS_06515+3320|PLX_1609|LSPM_J0654+3316|TYC_2441-572-1|ASCC__574333|UCAC2__43431171|USNO-B1.0_1232-00178536|8pc_181.32|AC_+33_25644|CSI+33-06516|Ci_20__400|G__87-12|G_103-68|GCRV__4506|GEN#_+9.80087012|GEN#_+6.10010251|GJ___251|HD_265866|HIC__33226|HIP__33226|JP11__5122|JP11__5121|JP11__5123|JP11__5120|LFT__497|LHS__1879|LTT_11941|MCC_482|NLTT_17147|UBV_M__42939|Wolf__294|Zkh__95|[RHG95]__1094|PLX_1609.00|WISEA_J065448.38+331601.2|UCAC4_617-038292|StKM_2-440|PM_J06548+3316|Gaia_DR1_939072609037892224|WEB__6685|Gaia_DR2_939072613334579328,0.4116218850276271
35,GJ_273,1.9881592488541953,"[ 2.72878594e+06 -8.06226015e+02  2.64821234e-02  1.30097600e-06
 -9.61486688e-11  1.57815020e-15]",2.7169996792390463,GL_273,3317,60,0.315,0.012,4.89,0.05,-0.11,0.08,0.28,0.03,9.85,0.49,263.3,9.9,D,2,1,Gaia,2M,Simbad,111.85208,5.22579,Karmn_J07274+052|Gaia_DR2_3139847906304421632|PLX_1755|LSPM_J0727+0513|ASCC_1029189|UCAC2__33555673|USNO-B1.0_0952-00140898|8pc_263.26|AC2000__282902|BD+05__1668|G_112-17|G__89-19|GAT_1092|GCRV__4954|GEN#_+0.00501668|GJ___273|GSC_00173-01124|HIC__36208|HIP__36208|IRAS_07247+0520|JP11____25|LFT__527|LHS____33|LTT_12021|MCC__17|NAME_Luyten's_star|NLTT_17881|PM_07247+0522|RAFGL__273|TYC__173-3208-1|UBV____7206|UBV_M____272|VVO_207|Zkh_102|[HFE83]__515|[JHC84]__57|[RHG95]__1168|2MASS_J07272450+0513329|PLX_1755.00|PM_J07274+0513|WEB__7213,Gaia_DR2_3139847906304421632,../library/20201008_specmatch_nir/FITS/269_GL273/Slope-20191115T085605_R01.optimal.fits,298.2,661.79248046875,ENG19-3-003,18.1541811021219,Slope-20191115T085605_R01.optimal.fits,Karmn_J07274+052|Gaia_DR2_3139847906304421632|PLX_1755|LSPM_J0727+0513|ASCC_1029189|UCAC2__33555673|USNO-B1.0_0952-00140898|8pc_263.26|AC2000__282902|BD+05__1668|G_112-17|G__89-19|GAT_1092|GCRV__4954|GEN#_+0.00501668|GJ___273|GSC_00173-01124|HIC__36208|HIP__36208|IRAS_07247+0520|JP11____25|LFT__527|LHS____33|LTT_12021|MCC__17|NAME_Luyten's_star|NLTT_17881|PM_07247+0522|RAFGL__273|TYC__173-3208-1|UBV____7206|UBV_M____272|VVO_207|Zkh_102|[HFE83]__515|[JHC84]__57|[RHG95]__1168|2MASS_J07272450+0513329|PLX_1755.00|PM_J07274+0513|WEB__7213,0.029900459367651514
30,GJ_105_B,2.0268633802786984,"[ 6.67878905e+06 -1.97120297e+03  6.46380928e-02  3.18044388e-06
 -2.34650254e-10  3.84741798e-15]",2.626219667514322,GL_105B,3284,60,0.278,0.01,4.94,0.05,-0.12,0.03,0.25,0.03,9.85,0.51,,11.7,D,3,1,Gaia,2M,Simbad,39.06399,6.8719800000000015,Karmn_J02362+068|LSPM_J0236+0652|2MASS_J02361535+0652191|USNO-B1.0_0968-00026146|8pc_138.72B|BD+06___398B|CCDM_J02361+0653B|CSI+06___398__2|Ci_20__175|G__73-71|G__76-12|GEN#_+1.00016160B|GEN#_+1.20016160|GEN#_+9.80073071|GJ___105_B|GSC_00052-00151|IDS_02307+0626_B|LFT__218|LHS____16|LTT_10859|MCC_396|NLTT__8455|UBV____2587|USNO_802|V*_BX_Cet|Zkh__44|[R78b]_153|[RHG95]___463|vMa_2-3|**_PLQ___32B|WDS_J02361+0653C|AKARI-IRC-V1_J0236161+065228|WISE_J023616.50+065233.0|PMSC_02307+0626B|Gaia_DR2_18565464288396416|WISEA_J023616.52+065232.9|UCAC4_485-003632|PM_J02362+0652,Gaia_DR2_18565464288396416,../library/20201008_specmatch_nir/FITS/264_GL105B/Slope-20200108T040109_R01.optimal.fits,969.15,488.1304931640625,PSU20-1-001,26.169476006248725,Slope-20200108T040109_R01.optimal.fits,Karmn_J02362+068|LSPM_J0236+0652|2MASS_J02361535+0652191|USNO-B1.0_0968-00026146|8pc_138.72B|BD+06___398B|CCDM_J02361+0653B|CSI+06___398__2|Ci_20__175|G__73-71|G__76-12|GEN#_+1.00016160B|GEN#_+1.20016160|GEN#_+9.80073071|GJ___105_B|GSC_00052-00151|IDS_02307+0626_B|LFT__218|LHS____16|LTT_10859|MCC_396|NLTT__8455|UBV____2587|USNO_802|V*_BX_Cet|Zkh__44|[R78b]_153|[RHG95]___463|vMa_2-3|**_PLQ___32B|WDS_J02361+0653C|AKARI-IRC-V1_J0236161+065228|WISE_J023616.50+065233.0|PMSC_02307+0626B|Gaia_DR2_18565464288396416|WISEA_J023616.52+065232.9|UCAC4_485-003632|PM_J02362+0652,0.07315653903668654
77,GJ_436,2.097934044196974,"[ 1.29980159e+06 -3.84436842e+02  1.26492379e-02  6.20434080e-07
 -4.59314750e-11  7.54688771e-16]",0.33988826241777936,HIP_57087,3416,53,0.455,0.018000000000000002,4.83,0.03,0.04,0.1,0.45,0.03,9.62,0.52,102.6,10.6,E,1,1,Gaia,2M,Simbad,175.54622,26.70657000000001,Karmn_J11421+267|TYC_1984-2613-1|PLX_2704.1|1RXS_J114211.9+264328|LSPM_J1142+2642|ASCC__683818|UCAC2__41198281|2MASS_J11421096+2642251|USNO-B1.0_1167-00204205|AC_+27_28217|BPS_BS_15625-0002|CSI+26-11395|CSI+27-11395|CSI+27-11394|G_120-68|G_147-68|G_121-7|GCRV__7104|GEN#_+9.80120068|GJ___436|HIC__57087|HIP__57087|LFT__838|LHS___310|LP__319-75|LTT_13213|MCC_616|NLTT_28288|PM_11395+2700|Ross__905|VVO_171|Zkh_164|[RHG95]__1830|PLX_2704.10|Gaia_DR2_4017860992519744384|WISEA_J114211.79+264215.1|UCAC4_584-046777|StKM_2-754|PM_J11421+2642|Gaia_DR1_4017861056947245696|WEB_10275,Gaia_DR2_4017860992519744384,../library/20201008_specmatch_nir/FITS/401_HIP57087/Slope-20200208T064809_R01.optimal.fits,649.65,513.5943603515625,ENG20-1-003,9.568895452080044,Slope-20200208T064809_R01.optimal.fits,Karmn_J11421+267|TYC_1984-2613-1|PLX_2704.1|1RXS_J114211.9+264328|LSPM_J1142+2642|ASCC__683818|UCAC2__41198281|2MASS_J11421096+2642251|USNO-B1.0_1167-00204205|AC_+27_28217|BPS_BS_15625-0002|CSI+26-11395|CSI+27-11395|CSI+27-11394|G_120-68|G_147-68|G_121-7|GCRV__7104|GEN#_+9.80120068|GJ___436|HIC__57087|HIP__57087|LFT__838|LHS___310|LP__319-75|LTT_13213|MCC_616|NLTT_28288|PM_11395+2700|Ross__905|VVO_171|Zkh_164|[RHG95]__1830|PLX_2704.10|Gaia_DR2_4017860992519744384|WISEA_J114211.79+264215.1|UCAC4_584-046777|StKM_2-754|PM_J11421+2642|Gaia_DR1_4017861056947245696|WEB_10275,2.161170425951653e-07
