index,OBJECT_ID,chi2,poly_params,vsini,Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logAge,e_logAge,plx,Vmag,Notes,SCat,unknown,Gaia,2M,Simbad,_RA,_DE,simbadnames_x,ID_NAME,filename,exptime,sn18,qprog,rv,basenames,simbadnames_y,weights
31,GJ_109,2.7202402713005505,"[-5.49148392e+06  1.86623368e+03 -7.05215224e-02 -3.98238164e-06
  3.38592173e-10 -6.39250259e-15]",1.3412437374034087,GL_109,3405,60,0.364,0.014,4.85,0.05,-0.1,0.08,0.34,0.03,9.72,0.51,132.4,10.6,D,2,1,Gaia,2M,Simbad,41.06462,25.52336,Karmn_J02442+255|PLX__555|LSPM_J0244+2531|ASCC__654779|UCAC2__40803044|2MASS_J02441537+2531249|USNO-B1.0_1155-00031777|1RXS_J024416.0+253134|8pc_132.42|AC_+25__7918|CSI+25-02413|Ci_20__180|G__36-31|GCRV__1544|GEN#_+6.10010109|GEN#_+9.80036031|GJ___109|HIC__12781|HIP__12781|JP11__5109|LFT__224|LHS__1439|LTT_10897|MCC_400|NLTT__8817|PM_02413+2519|Ross__556|TYC_1772-986-1|UBV_M__42925|UBV____2710|V*_VX_Ari|VVO__51|Zkh__46|[GKL99]__75|[GS83]__68|[RHG95]___492|PLX__555.00|RX_J0244.2+2531|[ZEH2003]_RX_J0244.2+2531__1|WISEA_J024416.15+253120.5|StKM_2-231|UCAC4_578-006105|PM_J02442+2531|GALEX_6377037839452865034|WEB__2599|Gaia_DR2_114207651462714880,Gaia_DR2_114207651462714880,../library/20201008_specmatch_nir/FITS/265_GL109/Slope-20181221T061620_R01.optimal.fits,649.65,501.3157958984375,PSU19-1-013,30.515882303306732,Slope-20181221T061620_R01.optimal.fits,Karmn_J02442+255|PLX__555|LSPM_J0244+2531|ASCC__654779|UCAC2__40803044|2MASS_J02441537+2531249|USNO-B1.0_1155-00031777|1RXS_J024416.0+253134|8pc_132.42|AC_+25__7918|CSI+25-02413|Ci_20__180|G__36-31|GCRV__1544|GEN#_+6.10010109|GEN#_+9.80036031|GJ___109|HIC__12781|HIP__12781|JP11__5109|LFT__224|LHS__1439|LTT_10897|MCC_400|NLTT__8817|PM_02413+2519|Ross__556|TYC_1772-986-1|UBV_M__42925|UBV____2710|V*_VX_Ari|VVO__51|Zkh__46|[GKL99]__75|[GS83]__68|[RHG95]___492|PLX__555.00|RX_J0244.2+2531|[ZEH2003]_RX_J0244.2+2531__1|WISEA_J024416.15+253120.5|StKM_2-231|UCAC4_578-006105|PM_J02442+2531|GALEX_6377037839452865034|WEB__2599|Gaia_DR2_114207651462714880,0.6220669348041453
28,GJ_251,2.843113042396124,"[-9.62443140e+06  3.26893986e+03 -1.23414111e-01 -6.97515561e-06
  5.92500770e-10 -1.11798774e-14]",1.5193005321426218,HD_265866,3448,60,0.358,0.013,4.88,0.05,-0.02,0.08,0.35,0.04,9.66,0.52,180.3,10.1,D,1,1,Gaia,2M,Simbad,103.70399,33.26818,Karmn_J06548+332|2MASS_J06544902+3316058|IRAS_06515+3320|PLX_1609|LSPM_J0654+3316|TYC_2441-572-1|ASCC__574333|UCAC2__43431171|USNO-B1.0_1232-00178536|8pc_181.32|AC_+33_25644|CSI+33-06516|Ci_20__400|G__87-12|G_103-68|GCRV__4506|GEN#_+9.80087012|GEN#_+6.10010251|GJ___251|HD_265866|HIC__33226|HIP__33226|JP11__5122|JP11__5121|JP11__5123|JP11__5120|LFT__497|LHS__1879|LTT_11941|MCC_482|NLTT_17147|UBV_M__42939|Wolf__294|Zkh__95|[RHG95]__1094|PLX_1609.00|WISEA_J065448.38+331601.2|UCAC4_617-038292|StKM_2-440|PM_J06548+3316|Gaia_DR1_939072609037892224|WEB__6685|Gaia_DR2_939072613334579328,Gaia_DR2_939072613334579328,../library/20201008_specmatch_nir/FITS/261_265866/Slope-20200114T091114_R01.optimal.fits,617.7,568.272216796875,UT20-1-007,22.899544368519802,Slope-20200114T091114_R01.optimal.fits,Karmn_J06548+332|2MASS_J06544902+3316058|IRAS_06515+3320|PLX_1609|LSPM_J0654+3316|TYC_2441-572-1|ASCC__574333|UCAC2__43431171|USNO-B1.0_1232-00178536|8pc_181.32|AC_+33_25644|CSI+33-06516|Ci_20__400|G__87-12|G_103-68|GCRV__4506|GEN#_+9.80087012|GEN#_+6.10010251|GJ___251|HD_265866|HIC__33226|HIP__33226|JP11__5122|JP11__5121|JP11__5123|JP11__5120|LFT__497|LHS__1879|LTT_11941|MCC_482|NLTT_17147|UBV_M__42939|Wolf__294|Zkh__95|[RHG95]__1094|PLX_1609.00|WISEA_J065448.38+331601.2|UCAC4_617-038292|StKM_2-440|PM_J06548+3316|Gaia_DR1_939072609037892224|WEB__6685|Gaia_DR2_939072613334579328,0.3608954922813117
77,GJ_436,3.399740319143067,"[-3.91261047e+06  1.32785647e+03 -5.00663711e-02 -2.83305173e-06
  2.40340994e-10 -4.53138988e-15]",1.0367348366029379,HIP_57087,3416,53,0.455,0.018000000000000002,4.83,0.03,0.04,0.1,0.45,0.03,9.62,0.52,102.6,10.6,E,1,1,Gaia,2M,Simbad,175.54622,26.70657000000001,Karmn_J11421+267|TYC_1984-2613-1|PLX_2704.1|1RXS_J114211.9+264328|LSPM_J1142+2642|ASCC__683818|UCAC2__41198281|2MASS_J11421096+2642251|USNO-B1.0_1167-00204205|AC_+27_28217|BPS_BS_15625-0002|CSI+26-11395|CSI+27-11395|CSI+27-11394|G_120-68|G_147-68|G_121-7|GCRV__7104|GEN#_+9.80120068|GJ___436|HIC__57087|HIP__57087|LFT__838|LHS___310|LP__319-75|LTT_13213|MCC_616|NLTT_28288|PM_11395+2700|Ross__905|VVO_171|Zkh_164|[RHG95]__1830|PLX_2704.10|Gaia_DR2_4017860992519744384|WISEA_J114211.79+264215.1|UCAC4_584-046777|StKM_2-754|PM_J11421+2642|Gaia_DR1_4017861056947245696|WEB_10275,Gaia_DR2_4017860992519744384,../library/20201008_specmatch_nir/FITS/401_HIP57087/Slope-20200208T064809_R01.optimal.fits,649.65,513.5943603515625,ENG20-1-003,9.568895452080044,Slope-20200208T064809_R01.optimal.fits,Karmn_J11421+267|TYC_1984-2613-1|PLX_2704.1|1RXS_J114211.9+264328|LSPM_J1142+2642|ASCC__683818|UCAC2__41198281|2MASS_J11421096+2642251|USNO-B1.0_1167-00204205|AC_+27_28217|BPS_BS_15625-0002|CSI+26-11395|CSI+27-11395|CSI+27-11394|G_120-68|G_147-68|G_121-7|GCRV__7104|GEN#_+9.80120068|GJ___436|HIC__57087|HIP__57087|LFT__838|LHS___310|LP__319-75|LTT_13213|MCC_616|NLTT_28288|PM_11395+2700|Ross__905|VVO_171|Zkh_164|[RHG95]__1830|PLX_2704.10|Gaia_DR2_4017860992519744384|WISEA_J114211.79+264215.1|UCAC4_584-046777|StKM_2-754|PM_J11421+2642|Gaia_DR1_4017861056947245696|WEB_10275,7.302112849283629e-06
58,GJ_4070,4.206851660241339,"[-3.95493275e+05  1.32804482e+02 -4.92052774e-03 -2.82964920e-07
  2.35887868e-11 -4.39913265e-16]",1.7280347770729434,HIP_91699,3400,61,0.394,0.019,4.81,0.05,-0.16,0.08,0.37,0.04,9.75,0.51,92.8,11.3,D,1,1,Gaia,2M,Simbad,280.49598,31.83049,Gaia_DR1_2090085052225147264|TYC_2637-58-1|PM_J18419+3149|StKM_2-1388|UCAC4_610-064226|LSPM_J1841+3149|ASCC__604813|UCAC2__42953368|USNO-B1.0_1218-00336363|G_206-40|GJ__4070|HIC__91699|HIP__91699|LTT_15513|NLTT_46890|Ross__145|[RHG95]__2940|2MASS_J18415908+3149498|PLX_4317.03|Gaia_DR2_2090085056523454464,Gaia_DR2_2090085056523454464,../library/20201008_specmatch_nir/FITS/308_HIP91699/Slope-20200310T112118_R01.optimal.fits,969.15,253.50669860839844,UT20-1-008,-31.757517717217326,Slope-20200310T112118_R01.optimal.fits,Gaia_DR1_2090085052225147264|TYC_2637-58-1|PM_J18419+3149|StKM_2-1388|UCAC4_610-064226|LSPM_J1841+3149|ASCC__604813|UCAC2__42953368|USNO-B1.0_1218-00336363|G_206-40|GJ__4070|HIC__91699|HIP__91699|LTT_15513|NLTT_46890|Ross__145|[RHG95]__2940|2MASS_J18415908+3149498|PLX_4317.03|Gaia_DR2_2090085056523454464,0.01702184396443685
34,GJ_250_B,4.498071493774866,"[ 6.59311593e+06 -2.23839387e+03  8.44480969e-02  4.77596541e-06
 -4.05405185e-10  7.64622579e-15]",0.34571495299106286,GL_250B,3481,60,0.46,0.017,4.76,0.05,0.14,0.03,0.44,0.04,9.69,0.52,,10.1,D,3,1,Gaia,2M,Simbad,103.07521,-5.19006,"Karmn_J06523-051SAB|NLTT_17108|[RHG95]__1092|Zkh__94|PM_06499-0508|LTT__2663|LHS__1876|LFT__495|GJ___250_B|GEN#_+1.00050281B|GSC_04808-00765|TYC_4808-765-1|2MASS_J06521804-0511241|CSI-05__1844__2|CCDM_J06523-0511B|IDS_06474-0503_B|WDS_J06523-0510B|**_WNO___17B|WDS_J06523-0510Ba,Bb|**_WSI__125|HD__50281B|UCAC4_425-023198|PM_J06523-0511|Gaia_DR2_3101920046552857728",Gaia_DR2_3101920046552857728,../library/20201008_specmatch_nir/FITS/268_GL250B/Slope-20200126T050642_R01.optimal.fits,649.65,478.31683349609375,UT20-1-008,-7.27487467847373,Slope-20200126T050642_R01.optimal.fits,"Karmn_J06523-051SAB|NLTT_17108|[RHG95]__1092|Zkh__94|PM_06499-0508|LTT__2663|LHS__1876|LFT__495|GJ___250_B|GEN#_+1.00050281B|GSC_04808-00765|TYC_4808-765-1|2MASS_J06521804-0511241|CSI-05__1844__2|CCDM_J06523-0511B|IDS_06474-0503_B|WDS_J06523-0510B|**_WNO___17B|WDS_J06523-0510Ba,Bb|**_WSI__125|HD__50281B|UCAC4_425-023198|PM_J06523-0511|Gaia_DR2_3101920046552857728",8.42683725688076e-06
